Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
30-12-2021,1699.222168,1714.4383449364482,1682.614612952304,1691.7263474860777,4584738
31-12-2021,1694.6441650390625,1704.1598248331377,1680.1911232252733,1696.6640031380364,4619420
03-01-2022,1704.249512,1718.2538096972232,1694.6441036073452,1694.6441036073452,3329616
04-01-2022,1704.8778076171875,1711.6106003890875,1685.891310083786,1704.249347875214,3921999
05-01-2022,1655.952880859375,1708.244239129732,1651.7785273383165,1705.6408706210877,6995719
06-01-2022,1631.849609,1641.0061644901782,1615.8704026708538,1641.0061644901782,6449205
07-01-2022,1628.7076416015625,1648.1878132075997,1621.9748482469563,1629.7399155826886,4834389
10-01-2022,1661.428955078125,1678.6200425032102,1627.5405622351159,1629.3359737764672,7857560
11-01-2022,1665.782715,1678.7096991495666,1660.8902624950238,1665.2441133275113,5142287
12-01-2022,1685.3975830078125,1695.7661280475315,1669.7326618149332,1677.7222647477881,5362535
13-01-2022,1702.768310546875,1716.8622469895265,1675.4331047076187,1710.1294538640775,14277630
14-01-2022,1731.9886474609375,1735.2652955175927,1688.5845943448485,1689.482300136632,7688506
17-01-2022,1741.100341796875,1754.0273268080673,1733.0209898627827,1740.2475651482325,5262464
18-01-2022,1724.268310546875,1746.0376748737065,1715.9196032810285,1725.480191,3690315
19-01-2022,1676.061767578125,1720.0044255349865,1672.2913372210617,1720.0044255349865,5747770
20-01-2022,1637.1458740234375,1658.9601668033267,1629.7847309693936,1655.369343931458,5533463
21-01-2022,1603.0333251953125,1623.0522098917631,1594.325622106068,1611.3820336038245,8252758
24-01-2022,1559.1353759765625,1587.7272819323061,1551.2355216165236,1584.450634058544,7116712
25-01-2022,1545.984130859375,1562.008158,1526.5487775496383,1549.9788780052622,9137653
27-01-2022,1506.888916015625,1534.807544146456,1494.6801391976826,1527.8952534020755,11231734
28-01-2022,1513.7115478515625,1550.8317721070282,1507.6969625398617,1509.0435213036662,10998502
31-01-2022,1558.5968017578125,1570.5363330040534,1539.8796573165653,1542.2585996575958,8788872
01-02-2022,1590.779541015625,1597.9162579975496,1557.2501431039855,1585.4381259763172,5119935
02-02-2022,1604.2899169921875,1609.4069054950608,1590.7345821422696,1605.9955798264787,4253717
03-02-2022,1560.706298828125,1597.0184507985493,1556.6216940329873,1597.0184507985493,3832922
04-02-2022,1562.9954833984375,1574.530980546349,1535.2115338427761,1554.826382864696,4700077
07-02-2022,1539.56543,1554.8264281158893,1521.9704181220025,1546.0288675415272,4310209
08-02-2022,1541.6302490234375,1548.542540006406,1522.5090712178926,1535.0769527020025,6053401
09-02-2022,1559.5843505859375,1564.701229879619,1548.5425252681255,1557.519583385622,3867244
10-02-2022,1588.5802001953125,1592.4403790619915,1569.8630557291408,1576.0572478156403,4334630
11-02-2022,1545.265625,1567.3491624490587,1537.7698046116177,1562.0078575739724,7551371
14-02-2022,1510.120361328125,1542.7520485236505,1506.5744679361148,1517.1225090493276,7459637
15-02-2022,1560.437012,1568.0675105535606,1517.5266332614685,1525.2020612168308,4669915
16-02-2022,1555.993408203125,1575.8775027443555,1550.2031404107388,1560.4370077977667,5350642
17-02-2022,1548.363037109375,1570.0874740490895,1544.3233609325764,1565.5989449637575,3937950
18-02-2022,1532.338867,1546.298236171717,1529.241826,1535.0769137031268,5602215
21-02-2022,1553.6593017578125,1559.5842473898958,1518.469280099005,1526.997484746324,5120890
22-02-2022,1556.9359130859375,1571.8827354279815,1518.0653206725158,1526.009994477481,8878515
23-02-2022,1564.566406,1578.3910963789203,1556.083130953027,1570.9850241223437,5478811
24-02-2022,1506.4847412109375,1539.5202430026688,1499.6172711504462,1517.2122797722955,13592379
25-02-2022,1521.251953,1551.370021130741,1505.4523558036308,1539.5651700675176,9737281
28-02-2022,1540.104004,1551.2805065421107,1494.6801136600138,1510.1206091390077,15076542
02-03-2022,1528.6134033203125,1539.0267681608032,1518.0204315789038,1535.0768409224868,6771489
03-03-2022,1544.816895,1556.5319982242845,1531.0820625145825,1544.2333638859598,7344147
04-03-2022,1547.016357421875,1558.4171765738909,1509.043360495801,1521.8356673887606,9074499
07-03-2022,1561.873291015625,1571.8827318127442,1522.508916707261,1523.4066224364515,9742588
08-03-2022,1596.300293,1615.8703218106334,1542.6623753419804,1542.6623753419804,10984500
09-03-2022,1627.8548583984375,1644.2379899316497,1607.791154848383,1607.791154848383,10193515
10-03-2022,1639.120849609375,1656.042580035143,1625.0268044548918,1656.042580035143,6547182
11-03-2022,1635.6199951171875,1644.0584516957992,1625.7452311510574,1628.4383485963656,4758657
14-03-2022,1697.292236328125,1701.1524149287986,1644.1930282991682,1644.1930282991682,10289724
15-03-2022,1651.1502685546875,1695.1826708755325,1642.8015610504856,1695.1826708755325,7140443
16-03-2022,1696.1251220703125,1700.209617136358,1659.857790930526,1674.2210817119692,5233979
17-03-2022,1664.8851318359375,1726.557585196572,1645.539637862284,1726.557585196572,17731459
21-03-2022,1663.4937744140625,1693.8810937888873,1652.766124367728,1670.6304916817223,8362085
22-03-2022,1694.3297119140625,1696.6637247510457,1650.8807353530017,1660.7554977721877,5709382
23-03-2022,1680.8643798828125,1705.6410383121752,1667.0396884977417,1702.9479208832613,6192824
24-03-2022,1693.7012939453125,1700.7931908651096,1666.2764506640567,1666.2764506640567,3784303
25-03-2022,1684.5897216796875,1700.2546427439086,1667.9372366516275,1698.4592312943375,3438588
28-03-2022,1682.2108154296875,1688.4947556370578,1663.1345683715988,1675.118918136154,4008555
29-03-2022,1693.0728759765625,1696.125097139398,1670.2263107464303,1682.2106593993997,3917785
30-03-2022,1709.186767578125,1722.6972825433968,1701.152345190066,1714.6179310358978,7795839
31-03-2022,1711.7901611328125,1717.3110733270107,1700.4341616533945,1705.640898756571,5399145
01-04-2022,1708.827880859375,1714.887394872627,1686.1608099209134,1693.8361285877643,6171518
04-04-2022,1690.3350830078125,1699.3570700816317,1681.4029541800826,1696.439526,7364074
05-04-2022,1670.7200927734375,1696.3047057811573,1667.1741990144267,1691.0980783575872,5472024
06-04-2022,1641.7691650390625,1667.4884571015807,1635.7545802518507,1665.244192690946,5407453
07-04-2022,1625.7452392578125,1641.1409159802406,1622.6481980135563,1634.7672265778747,5797544
08-04-2022,1628.976806640625,1649.9831427798194,1623.0519706996265,1636.517556739723,5131446
11-04-2022,1585.8421630859375,1628.4382578043667,1582.2513400257294,1628.4382578043667,8248407
12-04-2022,1564.2073974609375,1577.7179133258371,1551.011166286609,1577.7179133258371,6456184
13-04-2022,1569.6834716796875,1577.7178945069024,1554.8263973177552,1575.4287009546981,6257693
18-04-2022,1455.5401611328125,1481.2145243041055,1427.3521779657744,1441.266617,30523965
19-04-2022,1402.2164306640625,1469.2301891678217,1391.4439612863616,1469.2301891678217,17044923
20-04-2022,1425.287353515625,1433.007710513435,1403.114065665019,1413.8865344992996,10678747
21-04-2022,1453.206055,1460.7466950238763,1426.6788069866927,1431.8406148458548,7766514
22-04-2022,1423.267578,1445.9346489594298,1420.5296412592907,1440.2342392008813,8134245
25-04-2022,1401.4083251953125,1411.9115474766672,1395.1243853901856,1411.9115474766672,7000570
26-04-2022,1419.2728271484375,1429.1475906516841,1406.3010225615533,1415.8615013776625,5345435
27-04-2022,1393.957275390625,1411.8664579674223,1391.7578309587648,1411.8664579674223,8819356
28-04-2022,1420.7091064453125,1437.9451226972992,1398.131784782489,1409.3980358449844,9245177
29-04-2022,1407.19873,1433.9054772566708,1401.1392164916588,1427.3521812703787,9831395
02-05-2022,1383.364501953125,1393.9125440673035,1374.387444834675,1392.2518104170338,7072627
04-05-2022,1378.4720458984375,1409.3979637538907,1373.6244131510482,1388.9751588651002,6220959
05-05-2022,1422.9984130859375,1426.8136628493476,1398.131895936832,1400.466018752797,6144870
06-05-2022,1385.0252685546875,1402.0816774855332,1378.0232295856404,1391.4438864637286,6171472
09-05-2022,1409.712158203125,1424.4794830755254,1366.4427862489936,1382.4668114652425,6832202
10-05-2022,1394.137207,1408.6351786539851,1387.8981951086735,1398.625736,6212545
11-05-2022,1370.5723876953125,1391.3991192964597,1356.9721223376418,1391.3991192964597,7846080
12-05-2022,1354.4586181640625,1371.2456735751925,1350.4189418752976,1359.1266447088979,7034979
13-05-2022,1350.508544921875,1372.8165107722343,1344.852954894135,1363.8843824412697,6723761
16-05-2022,1336.773681640625,1357.196488541389,1327.3926998865318,1355.5357547320384,6145331
17-05-2022,1363.1214599609375,1369.0014773526984,1329.4126696619664,1341.9805520770076,6516378
18-05-2022,1354.817383,1391.1744632386558,1351.3164182898859,1366.308059,6594126
19-05-2022,1281.1607666015625,1332.8236661016863,1272.6325620859147,1329.502198702564,16561140
20-05-2022,1306.296630859375,1316.7099963349126,1298.7109510177181,1304.3665414519367,10488908
23-05-2022,1318.191162109375,1335.7861731182122,1301.718283302418,1306.2516316480803,5887569
24-05-2022,1293.593994140625,1319.2235373026542,1288.4321860446441,1318.3706510846894,5693167
25-05-2022,1266.1690673828125,1294.9405813245614,1256.114806529215,1288.2077880074494,9630092
26-05-2022,1278.288330078125,1283.7194948511778,1263.117187351025,1272.9470235657134,13040065
27-05-2022,1311.862305,1316.934364203155,1290.362295335605,1296.2422023774436,8284860
30-05-2022,1370.617188,1373.4898020762826,1333.093043191686,1334.888454697668,10904213
31-05-2022,1364.085205078125,1377.1490921324805,1350.0688109873222,1370.5263940981097,16033857
01-06-2022,1341.359619140625,1374.2006803920185,1335.50803,1372.613057886202,8738508
02-06-2022,1368.076904296875,1373.3840770354834,1338.6831873873698,1346.303797066686,7205840
03-06-2022,1380.5057373046875,1410.715969239275,1377.1490940869578,1383.408884845195,9395707
06-06-2022,1388.081055,1394.0232323627165,1354.4687745578685,1375.334669946235,6624883
07-06-2022,1366.897705078125,1378.827577498525,1363.1781541383805,1378.827577498525,4904592
08-06-2022,1360.819336,1379.1449920306206,1353.561633,1379.1449920306206,4697608
09-06-2022,1374.427490234375,1376.196511023312,1344.0358592621958,1347.2111042891397,4361061
10-06-2022,1339.771973,1355.3305843397889,1336.868825108461,1348.208985661335,6516436
13-06-2022,1292.3245849609375,1309.6523266400254,1280.7122172604907,1309.6523266400254,6987685
14-06-2022,1306.8853759765625,1314.4605803173629,1272.955596856659,1279.1699820676001,6090247
15-06-2022,1290.238037109375,1312.1926539494157,1287.1988962903904,1306.5678679807882,4651958
16-06-2022,1267.557617,1309.7884152368779,1262.8401551582572,1304.5719418948088,6641772
17-06-2022,1258.576416015625,1267.3309313181774,1240.2960551585052,1261.9784641623437,9692047
20-06-2022,1282.9351806640625,1290.3742823551895,1253.7682629623148,1261.0713713096377,4595194
21-06-2022,1315.367919921875,1320.9018961015715,1290.737069147329,1291.8710851982403,6270787
22-06-2022,1303.8917236328125,1324.167909536378,1301.850494634257,1302.8031124644206,6253366
23-06-2022,1317.6810302734375,1322.7161050118207,1300.0357877105207,1306.204878313969,6254281
24-06-2022,1307.3843994140625,1331.334840499222,1296.3164470818606,1322.716318533469,6114340
27-06-2022,1337.7760009765625,1346.3038236253658,1329.202884133053,1331.8338234573516,4511097
28-06-2022,1342.811035,1350.1594366168376,1318.1801857243508,1332.6955903847702,4412178
29-06-2022,1327.479248046875,1339.9534251599073,1321.8091675409512,1328.7946624267454,5060038
30-06-2022,1326.2545166015625,1344.4894731370582,1319.9947256507555,1329.1122592903828,9165177
01-07-2022,1342.130615234375,1347.2109846776757,1308.518337278756,1319.087388364539,4651635
04-07-2022,1349.9327392578125,1353.7883939230314,1326.345204835297,1342.901839574178,4800224
05-07-2022,1339.000732421875,1369.8459686483452,1335.4172860401247,1359.7306341867263,7379669
06-07-2022,1353.2440185546875,1360.8192234162877,1333.602838947962,1344.6707910009138,5209162
07-07-2022,1359.639892578125,1373.4748889332016,1356.9182539508968,1363.5863571826133,3323472
08-07-2022,1373.9283447265625,1376.1963766672407,1360.7737594706286,1374.4273560510105,3652582
11-07-2022,1336.460693359375,1360.7286382087686,1330.3370063413038,1356.2832728913424,4702638
12-07-2022,1305.1163330078125,1332.332717447335,1302.757601838471,1326.1637367539608,4710356
13-07-2022,1310.423583984375,1324.5307883911123,1305.1164108508747,1315.458659703502,5264025
14-07-2022,1296.270996,1318.1348025761679,1282.798908069353,1316.3657819014365,6157606
15-07-2022,1297.6319580078125,1311.8298621361157,1279.7599080562986,1311.8298621361157,5620018
18-07-2022,1351.656494140625,1355.0131375042863,1313.6896572029552,1315.4586780241734,5835171
19-07-2022,1346.4398193359375,1348.8892494530244,1333.6934359551399,1335.0089608832923,3418540
20-07-2022,1374.6995849609375,1384.2253192557744,1360.819184976676,1361.9532009641566,5079392
21-07-2022,1390.6666259765625,1392.9799523411634,1363.6316382423909,1376.2419192424743,5008061
22-07-2022,1366.534668,1397.1076946516139,1353.6975848594027,1391.6644179192049,7020642
25-07-2022,1364.085205078125,1376.3779833666647,1342.765703322451,1342.765703322451,7859626
26-07-2022,1316.5018310546875,1357.780012018213,1310.9224503800992,1357.780012018213,7268273
27-07-2022,1334.555419921875,1336.3244405660616,1310.9224824290286,1316.3657591726785,4517285
28-07-2022,1376.604736328125,1383.0005201751158,1351.6109791825675,1357.5532673695334,6636841
29-07-2022,1405.907715,1411.350992,1386.2212402192902,1390.5759062138168,7009465
01-08-2022,1407.132568359375,1418.8809307454737,1395.202696952757,1418.8809307454737,2983249
